t # 15_0
e 0 17 2
e 0 18 3
e 1 0 2
e 1 2 3
e 1 3 3
e 1 4 2
e 1 5 2
e 1 6 2
e 1 7 2
e 1 8 2
e 1 9 2
e 1 10 2
e 1 11 2
e 1 12 3
e 1 13 2
e 1 14 3
e 1 15 2
e 1 16 3
e 1 17 2
e 1 18 3
e 2 0 3
e 2 1 3
e 2 3 3
e 2 4 3
e 2 5 2
e 2 6 2
e 2 7 2
e 2 8 2
e 2 9 3
e 2 10 3
e 2 11 3
e 2 12 3
e 2 13 2
e 2 14 2
e 2 15 3
e 2 16 2
e 2 17 3
e 2 18 2
e 3 0 3
e 3 1 2
e 3 2 3
e 3 4 3
e 3 5 3
e 3 6 2
e 3 7 2
e 3 8 2
e 3 9 2
e 3 10 2
e 3 11 3
e 3 12 2
e 3 13 2
e 3 14 3
e 3 15 2
e 3 16 3
e 3 17 2
e 3 18 2
e 4 0 3
e 4 1 2
e 4 2 3
e 4 3 2
e 4 5 2
e 4 6 2
e 4 7 3
e 4 8 2
e 4 9 2
e 4 10 3
e 4 11 2
e 4 12 3
e 4 13 3
e 4 14 3
e 4 15 3
e 4 16 3
e 4 17 3
e 4 18 3
e 5 0 3
e 5 1 3
e 5 2 3
e 5 3 2
e 5 4 2
e 5 6 2
e 5 7 2
e 5 8 2
e 5 9 3
e 5 10 2
e 5 11 2
e 5 12 2
e 5 13 2
e 5 14 3
e 5 15 2
e 5 16 2
e 5 17 2
e 5 18 2
e 6 0 3
e 6 1 2
e 6 2 2
e 6 3 2
e 6 4 3
e 6 5 3
e 6 7 3
e 6 8 2
e 6 9 2
e 6 10 3
e 6 11 3
e 6 12 3
e 6 13 2
e 6 14 2
e 6 15 3
e 6 16 3
e 6 17 3
e 6 18 3
e 7 0 3
e 7 1 3
e 7 2 3
e 7 3 2
e 7 4 2
e 7 5 3
e 7 6 2
e 7 8 2
e 7 9 3
e 7 10 2
e 7 11 2
e 7 12 3
e 7 13 3
e 7 14 2
e 7 15 2
e 7 16 2
e 7 17 2
e 7 18 3
e 8 0 3
e 8 1 2
e 8 2 3
e 8 3 2
e 8 4 2
e 8 5 3
e 8 6 3
e 8 7 2
e 8 9 3
e 8 10 3
